chunk_id,chunk_text,manual_Information Technology_tag,manual_relevant_text,gpt-4.1-mini_Information Technology_tag,gpt-4.1-mini_Information Technology_tag_relevant_section,Transcript
317,a couple of different options but the ones that are running in other states or have been implemented don't have federal there's like two and they don't have kind of the federal stamp of approval yet except for the ones that were built in-house so the COTS solutions to this aren't are in like a very early stages where if you see like a COTS solution on home and community-based services case management we have those that have been established for decades and running so that's something where we,True,they don't have kind of the federal stamp of approval yet except for the ones that were built in-house so the COTS solutions to this aren't are in like a very early stages where if you see like a COTS solution on home and community-based services case management we have those that have been established for decades,True,a couple of different options but the ones that are running in other states or have been implemented don't have federal there's like two and they don't have kind of the federal stamp of approval yet except for the ones that were built in-house so the COTS solutions to this aren't are in like a very early stages where if you see like a COTS solution on home and community-based services case management we have those that have been established for decades and running,dss-non-medicaid-pt2
460,"for, it's that technology where we can push out messages to that kid. There's some security features, some tracking features that enable us to help that kid if there would ever be a problem. And just so that I'm kind of clear on what this does, is the representative still a representative here? Did they? Yes. Okay. So Representative Bosley was the sponsor and one of the things that the team helped me identify. So during the past 30 days of kind of the transition was that there was some mixed",True,"it's that technology where we can push out messages to that kid. There's some security features, some tracking features that enable us to help that kid if there would ever be a problem.",True,"it's that technology where we can push out messages to that kid. There's some security features, some tracking features that enable us to help that kid if there would ever be a problem.",dss-non-medicaid-pt2
463,"to sort of pick up the pieces on how we allocate that. So I would urge those of us on budget before we started just throwing money all over the budget for the sake of saying that we did something because this is something that had it been done appropriately, kids right now could be benefiting from the half a million dollars appropriation that we put in here. Thank you. Yep. And it's more than a cell phone, kind of like that more than a meal. It's assistive technology. So it's actually pushing",True," And it's more than a cell phone, kind of like that more than a meal. It's assistive technology.",True,"And it's more than a cell phone, kind of like that more than a meal. It's assistive technology. So it's actually pushing",dss-non-medicaid-pt2
464,"assistive technology. So it's actually pushing out messages to help them understand milestones and things that they need to do, and also tracking their progress on that so that we can show those outcomes and help lead to better interventions and form the interventions that we do for foster. I mean, obviously it's a very, very good idea is one that I support, but just execution and doing diligence is always important. Thank you so much for that. Thank you, Mr. Chair. All right, next section is",True,"assistive technology. So it's actually pushing out messages to help them understand milestones and things that they need to do, and also tracking their progress on that so that we can show those outcomes and help lead to better interventions and form the interventions that we do for foster.",True,"assistive technology. So it's actually pushing out messages to help them understand milestones and things that they need to do, and also tracking their progress on that so that we can show those outcomes and help lead to better interventions and form the interventions that we do for foster.",dss-non-medicaid-pt2
474,"enhancing the general child protective system, developing and updating systems technology, developing, strengthening facility training. So a wide range of activities throughout children's division and to the whole provider community. Just a follow-up question, because I think you broke the money that was for, broke out in the budget, the money that was set aside for in your division, the... Was that in book five? Yeah, we hit that a while ago. Yeah, I think, okay, that's good. That's all I just",True,developing and updating systems technology,True,"enhancing the general child protective system, developing and updating systems technology",dss-non-medicaid-pt2
9,"and insurers, the Tort Victims' Compensation Program, line-of-duty payments, second injury fund claims, and adjusting the workers' compensation surcharges. The DWC continues to work on Work Comp Connect, a multi-year modernization project to streamline processes and automate many facets of the Work Comp Program, improving citizen engagement with the division and efficiency across all the administration of the program. Phase one is scheduled to go live in December of 2025, and will include",False,,True,"The DWC continues to work on Work Comp Connect, a multi-year modernization project to streamline processes and automate many facets of the Work Comp Program, improving citizen engagement with the division and efficiency across all the administration of the program.",sa-dolir
17,"These all provide resourcing and support to deliver good, consistent citizen service. I'm proud of the work we've done, and are doing better to serve people across Missouri, improve program administration and access through technology, and foster a culture of professionalism and excellence in our workforce. We'll now present the department's FY26 budget with all the NDIs that were in Governor Kehoe's proposal. At this time, I invite Julie Kuhn to assist me with continuing the budget",False,,True,...improve program administration and access through technology...,sa-dolir
36,"it shows that there was $100,000 reduction in the request for federal authority. I just wanted you guys to know this wasn't actually a reduction.Something in the system made a change and it didn't actually reduce our one time from last year, and so they had to do a push between the department REC and the GOV REC to remove that. So, the GOV REC is what actually we ended with in FY25. That has nothing to do with that new accounting software movers? I mean, just a little bit, maybe. Okay. Thank",False,,True,"the GOV REC is what actually we ended with in FY25. That has nothing to do with that new accounting software movers? I mean, just a little bit, maybe.",sa-dolir
60,"all of those security services through that contract, so they have to be procured separately now. So this is a request to be able to keep those security services going, and the state's going to have to pay for them. There are 14 states that have signed on to a federal lawsuit that are challenging the rule, and then we're watching to see if the change in administration in Washington has any impact on it. Are we one of those states? We are. And then we're watching to see if the change of",False,,True,"all of those security services through that contract, so they have to be procured separately now. So this is a request to be able to keep those security services going, and the state's going to have to pay for them.",sa-dolir
58,"no longer include the cost for security services charged to friends and family. So historically, a vendor communication services contract, which is phone and tablet services, they have their bid on a permanent rate. As part of that rate, vendors provide security-related services to the department, like phone call monitoring, call storage and recording, they're used in investigative purposes, forensic analysis of cell phones, drug dogs, all kinds of security add-on services. The FCC issued a",True,"So historically, a vendor communication services contract, which is phone and tablet services, they have their bid on a permanent rate. As part of that rate, vendors provide security-related services to the department, like phone call monitoring, call storage and recording, they're used in investigative purposes, forensic analysis of cell phones, drug dogs, all kinds of security add-on services.",False,,sa-dolir
5,"FTE, and is almost completely federally funded. DES administers unemployment benefits, disaster unemployment, shared work, the war on terror unemployment benefits, collection of unemployment insurance taxes, and employment training. Starting calendar year 2023, the Division's Unemployment Automation Fund began receiving funds. These funds allow the division to maintain a modernized, secure, efficient, and customer-friendly platform for the unemployment insurance program now and into the future.",True,"the Division's Unemployment Automation Fund began receiving funds. These funds allow the division to maintain a modernized, secure, efficient, and customer-friendly platform for the unemployment insurance program now and into the future.",True,"Starting calendar year 2023, the Division's Unemployment Automation Fund began receiving funds. These funds allow the division to maintain a modernized, secure, efficient, and customer-friendly platform for the unemployment insurance program now and into the future.",sa-dolir
6,"insurance program now and into the future. Utilizing this fund, along with federal funding, DES has moved U-Interact, Missouri's web-based unemployment insurance program, to the Amazon Cloud to improve system performance and scalability, making U-Interact the largest Missouri state government application hosted in a cloud environment. We are currently in the process of modernizing the system foundation, which will strengthen the agency's ability to continually innovate. Not only has the",True,"Utilizing this fund, along with federal funding, DES has moved U-Interact, Missouri's web-based unemployment insurance program, to the Amazon Cloud to improve system performance and scalability, making U-Interact the largest Missouri state government application hosted in a cloud environment.",True,"Utilizing this fund, along with federal funding, DES has moved U-Interact, Missouri's web-based unemployment insurance program, to the Amazon Cloud to improve system performance and scalability, making U-Interact the largest Missouri state government application hosted in a cloud environment. We are currently in the process of modernizing the system foundation, which will strengthen the agency's ability to continually innovate.",sa-dolir
32,"time of service pay increase. On page eight, a GR pickup for the statewide pay plan. This is $374,840 GR to support funds that require additional revenue, helping to cover the costs of the time of service pay plan. On page 20, we have an NDI for Microsoft license costs. The governor did not recommend this NDI. And the license is going to expire? No. So we were all required to get Microsoft Office and then the update, and so this was an NDI to cover some of those costs. What we found out was",True,"On page 20, we have an NDI for Microsoft license costs. The governor did not recommend this NDI. And the license is going to expire? No. So we were all required to get Microsoft Office and then the update",True,"On page 20, we have an NDI for Microsoft license costs. The governor did not recommend this NDI. And the license is going to expire? No. So we were all required to get Microsoft Office and then the update, and so this was an NDI to cover some of those costs.",sa-dolir
