chunk_id,chunk_text,chunk_length,manual_it_spend_tag,manual_relevant_text,gpt-4.1-nano_Information Technology_tag,gpt-4.1-nano_Information Technology_tag_confidence,gpt-4.1-nano_Information Technology_tag_relevant_section,gpt-4.1-mini_Information Technology_tag,gpt-4.1-mini_Information Technology_tag_confidence,gpt-4.1-mini_Information Technology_tag_relevant_section
16,"the ask of the salary increase. So help me out in your core right now. We have 340 FTEs, and how many of those positions are currently filled? Right now we have 25 lawyer vacancies. I think we have. In what divisions? That's across all sections in the office. And then I would have to double check the support staff. I believe we have six investigator positions, two paralegals, and about six legal secretary positions. So 25 attorney vacancies, and then in terms of support staff, how many total? I",499,False,,False,2,"We have 340 FTEs, and how many of those positions are currently filled? Right now we have 25 lawyer vacancies. I think we have. In what divisions? That's across all sections in the office. And then I would have to double check the support staff. I believe we have six investigator positions, two paralegals, and about six legal secretary positions.",False,5,
17,"then in terms of support staff, how many total? I think we have six investigators, two paralegals, and five or six legal secretaries that we're recruiting. Okay. And where is this in terms of recent trends? Are you gaining some grounds here? You mentioned how important it is to continue to recruit, but also retain. Yeah, yeah. And you're right. One of the things we've identified is the cyclical nature of hiring attorneys for a government law firm of this size. It's really challenging. As you",496,False,,True,4,"then in terms of support staff, how many total? I think we have six investigators, two paralegals, and five or six legal secretaries that we're recruiting.",False,4,
18,"of this size. It's really challenging. As you all know, most of our employees are first-year attorneys that just graduated law school, especially given our pipeline for recruitment out of Mizzou Law with our practicum that we started. The issue there is those students graduate in May, but they don't get their bar results until August. So if I have an attorney that leaves in October of this year, I may not fill the position until August. And so there's always going to be a period of lapse. It's",498,False,,False,2,"of this size. It's really challenging. As you all know, most of our employees are first-year attorneys that just graduated law school, especially given our pipeline for recruitment out of Mizzou Law with our practicum that we started. The issue there is those students graduate in May, but they don't get their bar results until August. So if I have an attorney that leaves in October of this year, I may not fill the position until August. And so there's always going to be a period of lapse. It's",False,4,
19,"always going to be a period of lapse. It's as if a check has been cut, but it hasn't cleared the bank yet, so I'm still showing that money on the bank account. But we feel very positive about the trend lines overall, that our overall consistent vacancy rate has declined in spite of that kind of cyclical nature of our hiring. Okay. So increasing salaries. So we're starting beginning attorneys at what now? If these, I guess, if the NDIs are approved? And let me be clear. Our NDIs are not raises",497,False,,False,2,,False,5,
20,"And let me be clear. Our NDIs are not raises for our attorneys. Our NDIs are about filling FTE that are on the books, but are unfunded currently. And again, that's about meeting the operational needs of the office, given the increase in litigation and the increase in the complexity and time involved in that litigation. Okay. Then help me out then. In terms of your unexpended funds, you have a tremendous amount of unexpended funds over the last several fiscal years. So what is that attributed",496,False,,False,2,"And let me be clear. Our NDIs are not raises for our attorneys. Our NDIs are about filling FTE that are on the books, but are unfunded currently. And again, that's about meeting the operational needs of the office, given the increase in litigation and the increase in the complexity and time involved in that litigation.",False,5,
21,"several fiscal years. So what is that attributed to? So we have a lot of unexpended funds, and we're asking for overall several million dollars for your- And unexpended, are you talking about the two million laps in the PS line? Yeah. Yeah. So again, and that two million laps is directly attributable to the fact that I can't fill a position until, I can't fill most of my positions until August. So like if somebody quits today, there's going to be a period of laps that's going to be reflected on",499,False,,False,2,"several fiscal years. So what is that attributed to? So we have a lot of unexpended funds, and we're asking for overall several million dollars for your- And unexpended, are you talking about the two million laps in the PS line? Yeah. Yeah. So again, and that two million laps is directly attributable to the fact that I can't fill a position until, I can't fill most of my positions until August. So like if somebody quits today, there's going to be a period of laps that's going to be reflected on",False,4,
22,"a period of laps that's going to be reflected on our books at the end of the year regardless. That being said, and I'm sorry, did that answer your question? Yes, more or less, but it, okay, and then help me out just overall. I know we're not quite through all of the divisions. I know we still have Medicaid fraud, a few others. How much of an increase are you asking for overall for your budget? 2.2. Yeah, 2.2 million, sorry. The distinction is what I'm asking for that's in the GOVREC, and then",497,False,,False,1,"a period of laps that's going to be reflected on our books at the end of the year regardless. That being said, and I'm sorry, did that answer your question? Yes, more or less, but it, okay, and then help me out just overall. I know we're not quite through all of the divisions. I know we still have Medicaid fraud, a few others.",False,5,
23,"I'm asking for that's in the GOVREC, and then what the governor has approved or is asking for as part of the, his retention schedule that we're supportive of as well. And so that's, I just want to break those out. Okay. Since I'm asking questions now, I'm going to ask my last one. Where are we real quickly on the backlog from Sunshine cases? Certainly, and I have those numbers with me. Let me find that.Oh, yeah, here we go. So overall numbers, we've received 1,000, excuse me, 1,465 Sunshine",495,False,,False,2,"I'm asking for that's in the GOVREC, and then what the governor has approved or is asking for as part of the, his retention schedule that we're supportive of as well. And so that's, I just want to break those out. Okay. Since I'm asking questions now, I'm going to ask my last one. Where are we real quickly on the backlog from Sunshine cases? Certainly, and I have those numbers with me. Let me find that.Oh, yeah, here we go. So overall numbers, we've received 1,000, excuse me, 1,465 Sunshine",False,4,
24,"we've received 1,000, excuse me, 1,465 Sunshine requests since I've taken office. We have closed 1,390. We have a total of 75 pending from 2024 and 2025. And 40 of those are from 2024, and 35 are as of this year. So we feel confident that we have cleared the backlog. OK, so 75 still pending from 2024. 40 pending from 2024, 75 total. We've received 35 since the first of this year. And you continue to have attorneys dedicated to just that task? Yes, ma'am. OK. What about, so still a pretty",492,False,,False,2,"we've received 1,000, excuse me, 1,465 Sunshine requests since I've taken office. We have closed 1,390. We have a total of 75 pending from 2024 and 2025. And 40 of those are from 2024, and 35 are as of this year. So we feel confident that we have cleared the backlog.",False,5,
25,"Yes, ma'am. OK. What about, so still a pretty significant backlog. In Sunshine law, correct me if I'm wrong, you have how many days to respond? Three business days to either offer the responsive records or provide a time cost estimate of when the records will be made available. OK. And so we still have a pretty significant backlog there. So that's something concerning that honestly didn't exist for a very long time until, I think, 2023 when it really started to expand. So concerned why that",495,False,,False,2,"In Sunshine law, correct me if I'm wrong, you have how many days to respond? Three business days to either offer the responsive records or provide a time cost estimate of when the records will be made available.",False,5,
26,"really started to expand. So concerned why that still lingers today. The 75? Yeah. Well, I will concede that I would rather have zero pending requests and would rather turn them out more rapidly. But the problem is the complexity of the records we have to review because so many of them are legal files. And so a request may trigger a response of 50,000 documents that we have to go through line by line to ensure we're not breaching attorney-client privilege. And so it's more difficult for a law",497,False,,True,4,"And so a request may trigger a response of 50,000 documents that we have to go through line by line to ensure we're not breaching attorney-client privilege.",False,4,
27,"privilege. And so it's more difficult for a law firm to respond to Sunshine requests than, say, an entity that doesn't have a basis for closure, isn't morally and legally responsible for protecting that kind of confidential information. OK. Appreciate the conversation. Thank you. I think we're on page 29. Is that right, Rhonda? Yeah. And this is our Medicaid Fraud Compliance Unit. This is our unit that protects stewards of state resources and makes sure our most vulnerable have access to state",498,False,,False,2,"privilege. And so it's more difficult for a law firm to respond to Sunshine requests than, say, an entity that doesn't have a basis for closure, isn't morally and legally responsible for protecting that kind of confidential information. OK. Appreciate the conversation. Thank you. I think we're on page 29. Is that right, Rhonda? Yeah. And this is our Medicaid Fraud Compliance Unit. This is our unit that protects stewards of state resources and makes sure our most vulnerable have access to state",False,5,
28,"sure our most vulnerable have access to state health care. Pending any questions, going to 36. This is our NDI for our Medicaid Fraud Compliance Unit. We're asking for one additional investigator. This is a 75-25 Fed match. But we believe that we can increase our investigations and, again, continue to protect our most vulnerable in the taxpayer dollars with that additional investigator. Moving on to 39. This is our SafeCat initiative. I would just, I'm sorry. 39 is the governor's pay plan. 42.",498,False,,False,1,"sure our most vulnerable have access to state health care. Pending any questions, going to 36. This is our NDI for our Medicaid Fraud Compliance Unit. We're asking for one additional investigator. This is a 75-25 Fed match. But we believe that we can increase our investigations and, again, continue to protect our most vulnerable in the taxpayer dollars with that additional investigator.",False,5,
29,"I'm sorry. 39 is the governor's pay plan. 42. This is our SafeCat initiative. We've seen enormous success here. Thank you. I'm just curious on the Medicaid part. With the federal government doing what they're doing, do they prosecute cases here? Where does the responsibilities break down? It's a great question, Senator. There's multiple lines of jurisdiction that overlap. And so we prosecute a lot of cases that could be federal cases. But we take it on because we want to recover the money on",496,False,,False,2,"I'm just curious on the Medicaid part. With the federal government doing what they're doing, do they prosecute cases here? Where does the responsibilities break down? It's a great question, Senator. There's multiple lines of jurisdiction that overlap. And so we prosecute a lot of cases that could be federal cases. But we take it on because we want to recover the money on",False,4,
30,"it on because we want to recover the money on behalf of the state of Missouri and protect Missourians. And at the end of the day, the federal government has supported resources for our office to be able to do that. The federal government certainly could prosecute their own cases. Most of the times, they defer to us. So if you prosecute a case that could be federal and you win, the funds that they recover, they go fed state just the same as the funds due that are being spent. Yes. Yes. OK. Thank",499,False,,False,2,"it on because we want to recover the money on behalf of the state of Missouri and protect Missourians. And at the end of the day, the federal government has supported resources for our office to be able to do that.",False,4,
31,"due that are being spent. Yes. Yes. OK. Thank you. Barring any other questions, I believe I'm on tab 48. Is that right? Yeah, 48. This is governor's retention schedule. Barring any questions, tab 51. Sorry, didn't wear my glasses. This is our violent crimes task force. This is the specialized unit within our prosecutors that really focus on the homicide cases. Barring any questions, moving to tab 57. This is governor's retention schedule. Tab 60, this is the Attorney General Trust Fund. This is",499,False,,False,2,"due that are being spent. Yes. Yes. OK. Thank you. Barring any other questions, I believe I'm on tab 48. Is that right? Yeah, 48. This is governor's retention schedule. Barring any questions, tab 51. Sorry, didn't wear my glasses. This is our violent crimes task force. This is the specialized unit within our prosecutors that really focus on the homicide cases. Barring any questions, moving to tab 57. This is governor's retention schedule. Tab 60, this is the Attorney General Trust Fund. This is",False,5,
32,"this is the Attorney General Trust Fund. This is a pass-through account. So right now, there's $1.2 million we identified in the tobacco escrow account that we're transferring back to general revenue. So this is just the means in which we do that. Moving on to tab 65. This is our court cost fund that we pay for filings in court. Tab 70, this is our antitrust fund. And that's it. All right. Thank you, General. Any other questions from the committee before we move on to the prosecutor's office",496,False,,False,2,"This is the Attorney General Trust Fund. This is a pass-through account. So right now, there's $1.2 million we identified in the tobacco escrow account that we're transferring back to general revenue. So this is just the means in which we do that. Moving on to tab 65. This is our court cost fund that we pay for filings in court. Tab 70, this is our antitrust fund.",False,5,
33,"before we move on to the prosecutor's office underneath that same office? Doesn't look like it. Mr. Moore, whenever you're ready. Thank you, Mr. Chairman and members of the committee. Good morning, Senator, Mr. Chairman, members of the committee. I'm Daryl Moore, Missouri Office of Prosecution Services. This should be fairly quick. In terms of the core budget on page two, our core budget is actually $48,747 less than last year. That's only because I had to transfer money from House Bill 12 that",499,False,,True,4,"Daryl Moore, Missouri Office of Prosecution Services.",False,4,
34,"I had to transfer money from House Bill 12 that funds my office to House Bill 13 to cover additional rent for space that we have added in terms of training and meeting space. So that's with the facilities management. But otherwise, the core is the same. On page 10 is the new decision item. Brief history, I know Senator Williams will be familiar with it. In 2023, members of the General Assembly, both parties, approached my office with the idea of setting up a statewide conviction review unit",495,False,,False,2,"In 2023, members of the General Assembly, both parties, approached my office with the idea of setting up a statewide conviction review unit",False,5,
35,"of setting up a statewide conviction review unit since only the large offices, St. Louis City, St. Louis County, Jackson County, could have them. And most of the other offices are too small to do it. I was approached toward the end of that session by Cody Smith and the Budget Committee offering to give me money. I shouldn't say give. That sounds bad. Doesn't appropriate money. Well, it sounds counterintuitive to the experience I've had with the former chairman of the house. Well, and I would",496,False,,False,2,"of setting up a statewide conviction review unit since only the large offices, St. Louis City, St. Louis County, Jackson County, could have them. And most of the other offices are too small to do it. I was approached toward the end of that session by Cody Smith and the Budget Committee offering to give me money. I shouldn't say give. That sounds bad. Doesn't appropriate money. Well, it sounds counterintuitive to the experience I've had with the former chairman of the house. Well, and I would",False,5,
36,"former chairman of the house. Well, and I would say to you, Mr. Chairman, I was surprised when I was approached and offered an appropriation to set up the office. I declined for two reasons, which makes my state representative, Darren Chappell, happy. The primary reason was I had no statutory authority to set up such a thing, and I wasn't going to go venturing out on my own to do it. And number two, I hadn't looked at it, so I had no idea what staff we would actually need. So in 2024, I know",496,False,,False,1,,False,5,
37,"staff we would actually need. So in 2024, I know with the help of Senator Williams and the Senate and other folks, we had legislation passed setting up the conviction review unit. Unfortunately, there was no appropriation to actually set it up. So that's why this new decision item is this year. I know that the governor did not recommend it, but I would say to you, I can't set it up if I have not appropriated funds to set it up. I know GR is tight, as I testified in front of House Budget",491,False,,False,2,"staff we would actually need. So in 2024, I know with the help of Senator Williams and the Senate and other folks, we had legislation passed setting up the conviction review unit. Unfortunately, there was no appropriation to actually set it up. So that's why this new decision item is this year. I know that the governor did not recommend it, but I would say to you, I can't set it up if I have not appropriated funds to set it up.",False,5,
38,"is tight, as I testified in front of House Budget yesterday. If I could even receive funding for one attorney and the investigator, it would at least give us a beginning to see what the actual need would be for the office. And whoever succeeds me next year can come back and ask you for more money, if they need the money. But this is a worthy unit. We need it. We've already had inquiries about it, so I would respectfully ask that you all consider at least funding the one attorney and one",491,False,,False,2,"is tight, as I testified in front of House Budget yesterday. If I could even receive funding for one attorney and the investigator, it would at least give us a beginning to see what the actual need would be for the office. And whoever succeeds me next year can come back and ask you for more money, if they need the money. But this is a worthy unit. We need it. We've already had inquiries about it, so I would respectfully ask that you all consider at least funding the one attorney and one",False,5,
39,"at least funding the one attorney and one investigator. On page 13, Mr. Chair. Yeah, give us just a second. Senator Williams. Yeah, thank you for raising that issue. And just for the committee's sake, we do have new members on the committee this year. The Conviction Review Unit would basically allow prosecutors to determine innocence for those that may have been potentially wrongfully convicted of a crime. We've seen in other offices that do have this unit, it has been very successful, to the",497,False,,False,2,"The passage discusses legal processes, prosecutors, and a Conviction Review Unit, but does not mention or relate directly to Information Technology.",False,5,
40,"this unit, it has been very successful, to the extent that a gentleman by the name of Lamar Johnson was able to be freed due to a crime he did not commit and was able to walk his daughter down the aisle for her wedding. So we've seen some very positive stories that have come from this. And these are people that have served 20, 30, 40 years of their life just to be determined that they were innocent. So we were very proud to work on that, and I hope that the committee understands that putting",496,False,,False,1,"this unit, it has been very successful, to the extent that a gentleman by the name of Lamar Johnson was able to be freed due to a crime he did not commit and was able to walk his daughter down the aisle for her wedding. So we've seen some very positive stories that have come from this. And these are people that have served 20, 30, 40 years of their life just to be determined that they were innocent.",False,4,
41,"hope that the committee understands that putting some money towards this could be very helpful to our state, especially addressing crimes or situations of this issue where those may have been wrongfully convicted. Again, going back to page 13, the new decision item, this is simply for E&E. I only have two positions funded out of general revenue. The rest are grant funds or other funds. Courts are charged. The general revenue fund funds my domestic violence, sexual offense, special prosecutor",496,False,,False,1,,False,5,
42,"violence, sexual offense, special prosecutor that goes around the state helping train prosecutors and actually helping try cases, and also our child abuse resource prosecutor. This is the first time in the seven years that I've appeared in front of this committee that I've asked for any increase in E&E. But travel expenses for those two positions has just increased over the last three or four years, and I see that the governor did recommend that. So I'd respectfully ask for that $7,000. And",495,False,,False,2,"violence, sexual offense, special prosecutor that goes around the state helping train prosecutors and actually helping try cases, and also our child abuse resource prosecutor. This is the first time in the seven years that I've appeared in front of this committee that I've asked for any increase in E&E. But travel expenses for those two positions has just increased over the last three or four years, and I see that the governor did recommend that. So I'd respectfully ask for that $7,000.",False,5,
43,"So I'd respectfully ask for that $7,000. And then finally, of course, on page 15 is the governor's pay plan, which we support. Thank you, Mr. Moore. Any questions from the committee for the prosecutor? Seeing none, appreciate it. Next up, we got the Department of Economic Development. Michelle Hadaway, whenever you're ready. Good morning, Mr. Chairman, members of the committee. I'm Michelle Hadaway, director for the Missouri Department of Economic Development. The department is focused on",493,False,,False,2,,False,5,
44,"Development. The department is focused on providing businesses the resources they need in order to achieve success, build sustainable growth, strengthening our state's communities, and promoting Missouri as an ideal place to visit, help develop a talented andskilled workforce and maintaining a high quality of life for our fellow Missourians. My team is here to answer any questions that you guys have. For the sake of time and be respectful of your time, today I'll be going over any ongoing core",498,False,,False,2,,False,4,
45,"time, today I'll be going over any ongoing core changes and NDIs, and then all the one times from fiscal year 25 have been reduced. I won't be touching those unless you'd like me to go into more detail. Okay, so if you turn to page two and seven, this is the governor's play pan, I won't go into too much detail, you guys have heard about that. If you turn to page 10, this is a regional engagement, core reduction of WIOA funded PS, E&E, and FTE tied to the NDI on page 18 for $355,000 fund switch",498,False,,False,2,"time, today I'll be going over any ongoing core changes and NDIs, and then all the one times from fiscal year 25 have been reduced. I won't be touching those unless you'd like me to go into more detail. Okay, so if you turn to page two and seven, this is the governor's play pan, I won't go into too much detail, you guys have heard about that. If you turn to page 10, this is a regional engagement, core reduction of WIOA funded PS, E&E, and FTE tied to the NDI on page 18 for $355,000 fund switch",False,4,
46,"to the NDI on page 18 for $355,000 fund switch from federal dollars to GR. Five FTE, these five FTE are currently unfunded and they will be positions that will fill in Kansas City, St. Louis, Central, North, and Southwest Missouri. If you turn to page 45, the NDI is not recommended by the governor, so let's turn to page 84, this is an NDI for CHIP semiconductor, restoring funding as ongoing instead of one time. If you turn to page 113, this is a core reduction for the Community Development",494,True,"so let's turn to page 84, this is an NDI for CHIP semiconductor, restoring funding as ongoing instead of one time.",False,2,"to the NDI on page 18 for $355,000 fund switch from federal dollars to GR. Five FTE, these five FTE are currently unfunded and they will be positions that will fill in Kansas City, St. Louis, Central, North, and Southwest Missouri. If you turn to page 45, the NDI is not recommended by the governor, so let's turn to page 84, this is an NDI for CHIP semiconductor, restoring funding as ongoing instead of one time. If you turn to page 113, this is a core reduction for the Community Development",False,5,
47,"is a core reduction for the Community Development Block Grant or CDBG, these are federal dollars of over $11 million in excess authority that already has been expended. You turn to page 129 and 136, this is an NDI for the Missouri Main Street transfer, last year it was put in as one time, this is a request as an ongoing transfer request and then the NDI to coincide with it. You turn to page 176, this is a core reduction for the Missouri Community Service Commission or MCSE, these are ARPA",493,False,,False,1,,False,4,
48,"Service Commission or MCSE, these are ARPA grants that are now closed and the remaining funds have been transferred to the formula funding and the normal MCSE budget. Turn to page 209, this is Missouri One Start, it's a core reduction over $2 million in excess spend authority. If you turn to page 224 and 231, these NDIs are regarding upskill but they were not recommended by the Governor, so we'll continue on. To page 241, this NDI was not recommended by the Governor, we have questions? Okay.",496,False,,False,2,"Service Commission or MCSE, these are ARPA grants that are now closed and the remaining funds have been transferred to the formula funding and the normal MCSE budget. Turn to page 209, this is Missouri One Start, it's a core reduction over $2 million in excess spend authority. If you turn to page 224 and 231, these NDIs are regarding upskill but they were not recommended by the Governor, so we'll continue on. To page 241, this NDI was not recommended by the Governor, we have questions?",False,4,
49,"by the Governor, we have questions? Okay. Page 244, this is a statewide planning grant, this was reduced to zero as we are expending those funds and the grant is currently closing out. Turn to page 262, National Security Crossroads, again we've expended the funds and the grant's closing out. Page 277, NDI for tourism, this is a DR transfer increase, the Governor recommended an increase of a DR transfer of $1 million to coincide with the NDI on page 287 for event sponsorship. Page 305, this is",497,False,,False,2,"by the Governor, we have questions? Okay. Page 244, this is a statewide planning grant, this was reduced to zero as we are expending those funds and the grant is currently closing out. Turn to page 262, National Security Crossroads, again we've expended the funds and the grant's closing out. Page 277, NDI for tourism, this is a DR transfer increase, the Governor recommended an increase of a DR transfer of $1 million to coincide with the NDI on page 287 for event sponsorship.",False,5,
